Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2021T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2021T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2020T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2019T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2018T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2017T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2016T1	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T4	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T3	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T2	""
17 Rioja, La	Gasto medio diario por persona	Distribución porcentual del acumulado	2015T1	""
17 Rioja, La	Gasto medio diario por persona	Variación anual	2021T2	49,24
17 Rioja, La	Gasto medio diario por persona	Variación anual	2021T1	-41,78
17 Rioja, La	Gasto medio diario por persona	Variación anual	2020T4	-36,89
17 Rioja, La	Gasto medio diario por persona	Variación anual	2020T3	-39,4
17 Rioja, La	Gasto medio diario por persona	Variación anual	2020T2	-53,18
17 Rioja, La	Gasto medio diario por persona	Variación anual	2020T1	-1,12
17 Rioja, La	Gasto medio diario por persona	Variación anual	2019T4	7,57
17 Rioja, La	Gasto medio diario por persona	Variación anual	2019T3	7,59
